Produto,Data,CODOPER,CODCLI,CODFILIAL,Qtd_KG,Valor_Final
EMPADAO FRANGO KG,2026-03-28,S,1.0,2,2.404,120.2
EMPADAO FRANGO KG,2026-03-29,S,1.0,2,2.474,123.7
EMPADAO FRANGO KG,2026-04-09,S,1.0,5,2.464,123.2
TORTA SALGADA FRANGO KG,2026-04-02,S,1.0,5,0.776,31.03
TORTA SALGADA FRANGO KG,2026-04-05,S,1.0,5,1.086,43.44
PATE FRANGO KG,2026-03-27,S,1.0,5,1.382,48.37
CUSCUZ C/ CARNE MOIDA KG,2026-04-01,S,1.0,2,4.492,116.78
CUSCUZ C/ CARNE MOIDA KG,2026-04-06,S,1.0,5,1.442,34.6
CUSCUZ C/ CARNE MOIDA KG,2026-04-06,S,1.0,2,3.136,81.5
PATE FRANGO KG,2026-04-02,S,1.0,5,1.71,59.85
PATE FRANGO KG,2026-04-10,S,1.0,2,0.106,4.24
CUSCUZ C/ SALSICHA KG,2026-04-01,S,1.0,2,2.344,53.89
CUSCUZ C/ SALSICHA KG,2026-04-02,S,1.0,2,2.934,67.47
CUSCUZ C/ SALSICHA KG,2026-04-02,S,1.0,5,0.886,16.78
CUSCUZ C/ SALSICHA KG,2026-04-02,E,,5,3.76,41.36
CUSCUZ C/ SALSICHA KG,2026-04-06,S,6613.0,2,3.43,40.98
CUSCUZ C/ SALSICHA KG,2026-04-07,S,1.0,5,0.478,10.99
SOPA CARNE KG,2026-04-01,S,1.0,2,3.428,75.71
SOPA CARNE KG,2026-04-02,S,1.0,5,0.35,10.5
SOPA CARNE KG,2026-04-02,E,,5,1.424,23.1
SOPA CARNE KG,2026-04-03,S,1.0,5,0.348,10.44
SOPA CARNE KG,2026-04-08,S,1.0,2,4.152,95.47
SOPA CARNE KG,2026-04-09,S,1.0,2,1.814,41.69
LASANHA CARNE MOIDA KG,2026-04-02,S,1.0,2,3.768,150.72
LASANHA CARNE MOIDA KG,2026-04-06,E,,5,1.51,35.0
LASANHA CARNE MOIDA KG,2026-04-08,S,1.0,2,2.354,94.12
LASANHA CARNE MOIDA KG,2026-04-10,S,1.0,2,0.556,22.23
LASANHA FRANGO KG,2026-04-04,S,1.0,2,2.97,118.8
FRANGO ASSADO CORTE FACIL KG,2026-04-03,S,1.0,2,1.715,60.01
ARROZ C/ CREME FRANGO KG,2026-03-27,S,1.0,2,6.624,225.13
ARROZ C/ CREME FRANGO KG,2026-03-28,S,1.0,2,5.528,187.89
ARROZ C/ CREME FRANGO KG,2026-04-02,E,,5,7.056,62.09
ARROZ C/ CREME FRANGO KG,2026-04-03,S,1.0,2,6.102,207.42
ARROZ C/ CREME FRANGO KG,2026-04-08,S,1.0,2,9.22,313.42
ARROZ C/ CREME FRANGO KG,2026-04-09,S,1.0,5,0.894,30.38
FRANGO ASSADO CF METADE KG,2026-04-07,S,1.0,2,8.242,288.38
FRANGO ASSADO CF METADE KG,2026-04-08,S,1.0,5,1.708,59.76
MACAXEIRA C/ CALABRESA ACEB KG,2026-03-29,S,1.0,2,0.632,16.42
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-02,S,1.0,2,1.396,36.29
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-04,S,1.0,2,1.486,38.62
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-04,S,1.0,5,1.048,27.23
EMPADAO FRANGO KG,2026-04-03,S,1.0,5,1.492,74.6
EMPADAO FRANGO KG,2026-04-06,S,1.0,2,3.938,196.9
EMPADAO FRANGO KG,2026-04-09,S,1.0,2,1.864,93.2
TORTA SALGADA FRANGO KG,2026-03-28,S,1.0,5,0.518,20.71
CUSCUZ C/ CARNE MOIDA KG,2026-03-29,S,1.0,2,3.538,91.97
CUSCUZ C/ CARNE MOIDA KG,2026-04-05,S,1.0,2,2.392,62.15
CUSCUZ C/ CARNE MOIDA KG,2026-04-06,S,6613.0,2,7.052,84.28
CUSCUZ C/ CARNE MOIDA KG,2026-04-09,S,1.0,5,1.328,31.87
PATE FRANGO KG,2026-03-29,S,1.0,2,1.526,53.41
PATE FRANGO KG,2026-04-04,S,1.0,2,2.944,103.04
PATE FRANGO KG,2026-04-04,S,1.0,5,1.898,66.43
PATE FRANGO KG,2026-04-06,S,1.0,5,2.108,73.78
PATE FRANGO KG,2026-04-08,S,1.0,5,1.614,64.56
PATE FRANGO KG,2026-04-08,S,1.0,2,3.504,140.16
PATE FRANGO KG,2026-04-09,S,1.0,2,2.438,97.52
CUSCUZ C/ SALSICHA KG,2026-03-31,S,1.0,2,4.164,95.74
CUSCUZ C/ SALSICHA KG,2026-04-04,S,1.0,2,1.92,44.15
SOPA CARNE KG,2026-04-03,S,1.0,2,4.768,109.6
SOPA CARNE KG,2026-04-05,S,1.0,2,2.096,48.19
SOPA CARNE KG,2026-04-06,S,1.0,2,5.174,118.94
LASANHA CARNE MOIDA KG,2026-04-01,S,1.0,2,3.184,127.36
LASANHA CARNE MOIDA KG,2026-04-03,S,1.0,2,1.024,40.96
LASANHA CARNE MOIDA KG,2026-04-06,S,6613.0,2,1.51,35.0
LASANHA CARNE MOIDA KG,2026-04-09,S,1.0,5,0.604,24.15
LASANHA FRANGO KG,2026-04-06,E,,5,10.294,264.46
ARROZ C/ CREME FRANGO KG,2026-03-29,S,1.0,2,5.35,181.83
ARROZ C/ CREME FRANGO KG,2026-04-03,S,1.0,5,4.756,161.67
ARROZ C/ CREME FRANGO KG,2026-04-08,S,1.0,5,5.03,170.96
FRANGO ASSADO CF METADE KG,2026-03-31,S,1.0,2,5.542,193.91
CUSCUZ C/ CARNE KG,2026-04-05,S,1.0,5,0.2,5.2
MACAXEIRA C/ CALABRESA ACEB KG,2026-03-28,S,1.0,2,1.778,46.22
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-02,S,1.0,5,1.168,30.35
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-02,E,,5,1.84,24.29
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-02,S,6613.0,2,1.84,24.29
EMPADAO FRANGO KG,2026-03-31,S,1.0,2,4.894,244.7
EMPADAO FRANGO KG,2026-04-04,S,1.0,2,1.636,81.8
EMPADAO FRANGO KG,2026-04-06,E,,5,8.754,169.47
CUSCUZ C/ CARNE MOIDA KG,2026-04-01,S,4013.0,2,0.268,6.97
CUSCUZ C/ CARNE MOIDA KG,2026-04-07,S,1.0,5,0.684,16.41
PATE FRANGO KG,2026-03-28,S,1.0,2,2.86,100.1
PATE FRANGO KG,2026-03-28,S,1.0,5,3.458,121.03
PATE FRANGO KG,2026-04-03,S,1.0,5,4.516,158.06
PATE FRANGO KG,2026-04-05,S,1.0,2,3.008,105.28
CUSCUZ C/ SALSICHA KG,2026-03-29,S,1.0,2,1.362,31.32
CUSCUZ C/ SALSICHA KG,2026-04-05,S,1.0,2,1.724,39.63
SOPA CARNE KG,2026-04-02,S,1.0,2,1.396,32.09
LASANHA FRANGO KG,2026-04-03,S,1.0,5,1.268,50.72
LASANHA FRANGO KG,2026-04-04,S,4013.0,2,0.332,13.28
LASANHA FRANGO KG,2026-04-05,S,1.0,5,0.634,25.36
FRANGO ASSADO CORTE FACIL KG,2026-03-28,S,1.0,2,11.656,407.84
BAIAO DE DOIS CF KG,2026-04-05,S,1.0,2,1.488,52.08
BAIAO DE DOIS CF KG,2026-04-06,S,6613.0,2,3.2,57.34
ARROZ C/ CREME FRANGO KG,2026-04-01,S,1.0,2,5.968,202.83
ARROZ C/ CREME FRANGO KG,2026-04-02,S,1.0,2,4.746,161.33
FRANGO ASSADO CF METADE KG,2026-03-30,S,1.0,2,0.982,34.36
FRANGO ASSADO CF METADE KG,2026-04-04,S,1.0,2,9.296,325.25
CUSCUZ C/ CARNE KG,2026-03-31,S,1.0,2,5.526,143.63
CUSCUZ C/ CARNE KG,2026-04-04,S,1.0,2,1.368,35.56
CARNE C/ MACAXEIRA KG,2026-03-31,S,1.0,2,1.89,56.7
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-03,S,1.0,5,1.784,46.38
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-03,S,1.0,2,1.558,40.49
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-06,S,6613.0,2,5.56,79.73
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-07,S,1.0,2,3.056,79.42
MACAXEIRA C/ CALABRESA ACEB KG,2026-04-08,S,1.0,5,0.596,17.88
EMPADAO FRANGO KG,2026-04-01,S,1.0,2,4.114,205.7
EMPADAO FRANGO KG,2026-04-02,S,1.0,2,6.382,319.1
EMPADAO FRANGO KG,2026-04-08,S,1.0,2,2.876,143.8
CUSCUZ C/ CARNE MOIDA KG,2026-04-02,S,1.0,5,1.194,28.65
CUSCUZ C/ CARNE MOIDA KG,2026-04-03,S,1.0,5,3.398,81.51
CUSCUZ C/ CARNE MOIDA KG,2026-04-07,S,1.0,2,4.218,109.63
PATE FRANGO KG,2026-04-01,ED,1.0,2,0.214,7.49
PATE FRANGO KG,2026-04-07,S,1.0,5,0.89,31.15
PATE FRANGO KG,2026-04-09,S,1.0,5,2.518,100.72
